Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2021-08-28,144079.0,996116.0,1.0,1.1,0.795,2.89,,Europe,0.55,2490.0,0.0739,0.017282185467694805,3.0,5340000.0,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-10-23,4038.0,79945.0,1.1,,0.868,,,Europe,0.48,69.0,0.0064,0.017087667161961365,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,2,15026,167,2021-10-22,793.0,51382.0,7.3,,,,,North America,,1.0,0.0719,0.0012610340479192938,2.0,,,,,,,,,
Antigua and Barbuda,3,98069,223,2022-01-09,5058.0,,,,0.778,3.8,,North America,0.42,120.0,,0.02372479240806643,,269000.0,2020-03-14,17.060816,-61.796428,,,26868.13352,,
Argentina,4,45267449,17,2021-03-24,2269877.0,8883582.0,1.5,0.6,0.845,5.0,,South America,0.05,54946.0,0.018,0.024206597978656992,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,5,2964219,104,2020-12-13,148325.0,549732.0,2.4,1.8,0.776,4.2,94.043,Asia,-0.02,2486.0,0.001,0.016760492162481037,4.0,1652000.0,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Aruba,6,106845,593,2020-12-29,5373.0,365.0,,,,,,North America,,49.0,,0.00911967243625535,2.0,,,,,,,39454.62983,,
Australia,7,25550683,3,2022-01-12,1398776.0,57850394.0,3.3,0.5,0.944,3.84,,Oceania,0.69,2522.0,0.087,0.0018030049128666776,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,8,9015361,109,2021-02-28,452646.0,14907781.0,11.2,0.7,0.922,7.37,,Europe,0.56,10432.0,0.0002,0.023046707581642165,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,9,10154978,123,2021-10-20,507857.0,5056819.0,2.6,,0.756,4.7,83.241,Asia,0.11,6809.0,0.0,0.013407317414153984,1.0,2633000.0,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
Bahamas,10,393893,39,2021-09-15,19795.0,142910.0,2.1,,0.814,2.9,,North America,0.59,469.0,0.0,0.023692851730234908,2.0,14000.0,2020-03-17,25.03428,-77.39628,2020-04-17,Full,32087.72915,7.56,
Bahrain,11,1711057,2239,2020-11-21,85591.0,1954535.0,3.5,,0.852,2.0,,Asia,0.46,338.0,0.0011,0.003949013330840859,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Barbados,12,287437,668,2021-10-22,14753.0,585575.0,2.7,,0.814,5.8,88.469,North America,0.79,126.0,0.1112,0.008540635802887548,2.0,680000.0,2020-03-18,13.193887,-59.543198,2020-03-28,Full,18554.12928,7.02,
Belarus,13,9448772,47,2021-08-25,472852.0,7700372.0,3.1,,0.823,11.0,,Europe,-0.01,3712.0,0.0404,0.007850236437616844,4.0,11501600.0,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
Belgium,14,11598451,383,2020-12-02,582252.0,6013941.0,2.2,0.2,0.931,5.64,,Europe,0.66,16911.0,0.01,0.029044125224129757,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,15,398845,17,2021-09-27,19945.0,259340.0,3.2,,0.716,1.3,90.083,North America,0.55,405.0,0.0,0.02030584106292304,2.0,489000.0,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bermuda,16,62237,1246,2021-09-07,3273.0,1621.0,11.5,,,,,North America,,35.0,0.0,0.010693553315001528,2.0,,,,,,,,,
Bhutan,17,773069,20,2022-04-08,38921.0,,,1.5,0.654,1.7,79.807,Asia,0.2,13.0,,0.00033400991752524347,2.0,274000.0,2020-03-07,27.514162,90.433601,2020-03-06,Full,10167.93406,6.53,64.9
Bolivia,18,11700207,11,2021-12-29,585624.0,3035943.0,1.8,7.1,0.718,1.1,25.383,South America,0.59,19622.0,0.0121,0.03350614045872437,1.0,1142000.0,2020-03-12,-16.290154,-63.588653,2020-03-12,Full,7873.166243,6.61,95.7
Bosnia and Herzegovina,19,3277152,64,2021-03-29,165787.0,780081.0,2.8,0.2,0.78,3.5,97.164,Europe,0.52,6427.0,0.0,0.03876661016846918,4.0,1053000.0,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Botswana,20,2359585,4,2021-08-05,122574.0,1542739.0,1.1,,0.735,1.8,,Africa,0.17,1704.0,0.0,0.013901806255812815,1.0,14000.0,2020-03-31,-22.328474,24.684866,2020-04-02,Partial,18615.79334,7.17,88.5
Brazil,21,212821986,25,2021-03-02,10658171.0,36714837.0,,3.4,0.765,2.2,,South America,0.68,257728.0,,0.024181259617621072,2.0,6621000.0,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
British Virgin Islands,22,30266,202,2021-07-15,1602.0,96630.0,,,,,,North America,,8.0,,0.004993757802746567,,,,,,,,,,
Brunei,23,438202,83,2022-02-13,22515.0,,,,0.838,2.7,,Asia,0.59,98.0,,0.004352653786364646,2.0,14000.0,2020-03-10,4.535277,114.727669,,,,,
Bulgaria,24,6939018,64,2021-04-02,350340.0,2134815.0,3.5,1.5,0.816,7.454,,Europe,0.6,13438.0,0.0043,0.03835702460466975,3.0,9273000.0,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Canada,25,37799407,4,2021-12-19,1895472.0,50923671.0,1.9,0.5,0.929,2.5,,North America,0.72,30179.0,0.061,0.01592162796390556,,21134000.0,2020-01-27,56.130366,-106.346771,2020-03-16,Partial,48130.25597,8.65,
Cayman Islands,26,65854,274,2021-11-11,3427.0,1897.0,2.9,,,,,North America,,2.0,0.0,0.0005836008170411438,2.0,,,,,,,72607.57077,,
Chile,27,19144605,26,2021-03-26,962321.0,10879538.0,3.2,1.3,0.851,2.11,,South America,0.61,22587.0,0.0083,0.02347137805368479,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,28,50976248,46,2021-04-12,2552937.0,13328921.0,2.4,4.5,0.767,1.71,65.386,South America,0.47,66156.0,0.015,0.025913682946347678,2.0,3904000.0,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Cook Islands,29,17567,73,2022-03-22,948.0,,,,,,,Oceania,,1.0,,0.0010548523206751054,2.0,,,,,,,,,
Costa Rica,30,5102158,100,2021-05-03,256676.0,840269.0,2.3,1.3,0.81,1.13,83.841,North America,0.01,3290.0,0.018,0.012817715719428385,2.0,3017000.0,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,31,4100719,73,2020-12-28,205246.0,996935.0,1.9,0.7,0.851,5.54,,Europe,0.54,3739.0,0.0176,0.01821716379369147,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cuba,32,11325391,106,2021-08-21,573751.0,,,,0.783,5.2,85.198,North America,0.52,4481.0,,0.0078100081742776915,2.0,4684000.0,2020-03-13,21.521757,-77.781167,2020-03-23,Full,,,99.7
Cyprus,33,1208886,131,2021-04-23,60761.0,4893115.0,17.7,,0.887,3.4,,Europe,0.47,297.0,0.0013,0.004888003818238673,3.0,3939000.0,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,34,5795780,137,2021-06-13,289874.0,33986775.0,2.9,0.2,0.94,2.5,,Europe,0.63,2525.0,0.0024,0.008710681192518128,3.0,12749000.0,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Dominica,35,72017,96,2021-10-02,3602.0,183922.0,2.6,,0.742,3.8,,North America,0.44,21.0,0.0,0.005830094392004442,2.0,63000.0,2020-03-23,15.414999,-61.370976,2020-03-19,Partial,11129.86119,,
Dominican Republic,36,10866667,225,2022-01-25,544328.0,2938287.0,1.7,1.6,0.756,1.6,55.182,North America,0.55,4291.0,0.0144,0.007883114592672066,2.0,6569000.0,2020-03-02,18.735693,-70.162651,2020-03-17,Full,17748.18532,,91.8
Ecuador,37,17688599,71,2022-06-06,885318.0,2824935.0,3.7,3.6,0.759,1.5,80.635,South America,1.04,35649.0,0.212,0.04026688715241303,2.0,2535000.0,2020-03-02,-1.831239,-78.183406,2020-03-24,Partial,11734.38739,6.82,94.5
Estonia,38,1326693,31,2021-03-01,66628.0,949693.0,1.6,0.5,0.892,4.69,,Europe,0.39,598.0,0.0082,0.00897520561925917,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Eswatini,39,1162233,67,2021-12-17,58876.0,501428.0,5.2,,0.611,2.1,24.097,Africa,0.34,1258.0,0.0133,0.021366940688905496,,782000.0,2020-03-15,-26.5179414,31.4659,2020-03-27,Partial,10637.84173,6.4,
