Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Canada,26,37799407,4,2020-11-30,383468.0,14277692.0,1.9,0.5,0.929,2.5,,North America,0.65,12684.0,0.0055,0.033077075531726244,,21134000.0,2020-01-27,56.130366,-106.346771,2020-03-16,Partial,48130.25597,8.65,
Cayman Islands,27,65854,274,2021-08-21,663.0,1897.0,2.9,,,,,North America,,2.0,0.0,0.0030165912518853697,2.0,,,,,,,72607.57077,,
Chile,28,19144605,26,2020-06-12,193452.0,791753.0,2.8,1.3,0.851,2.11,,South America,0.61,2870.0,0.0083,0.014835721522651614,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,29,50976248,46,2020-08-20,513719.0,2366615.0,2.4,4.5,0.767,1.71,65.386,South America,0.47,16183.0,0.015,0.03150165752094044,2.0,3904000.0,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Cook Islands,30,17567,73,2022-03-10,206.0,,,,,,,Oceania,,1.0,,0.0048543689320388345,2.0,,,,,,,,,
Costa Rica,31,5102158,100,2020-09-09,51224.0,151458.0,2.3,1.3,0.81,1.13,83.841,North America,0.01,543.0,0.018,0.010600499765734812,2.0,3017000.0,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,32,4100719,73,2020-10-29,43775.0,475994.0,1.9,0.7,0.851,5.54,,Europe,0.54,511.0,0.0176,0.011673329525985151,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cuba,33,11325391,106,2021-05-07,113876.0,3812673.0,11.4,,0.783,5.2,85.198,North America,0.52,713.0,0.0451,0.006261196389054762,2.0,4684000.0,2020-03-13,21.521757,-77.781167,2020-03-23,Full,,,99.7
Cyprus,34,1208886,131,2020-12-06,12181.0,759864.0,17.7,,0.887,3.4,,Europe,0.47,59.0,0.0013,0.004843608899105164,3.0,3939000.0,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,35,5795780,137,2020-11-12,58963.0,6154872.0,2.9,0.2,0.94,2.5,,Europe,0.63,755.0,0.0024,0.012804640198090328,3.0,12749000.0,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Djibouti,36,990447,43,2021-04-12,9975.0,278820.0,19.9,22.5,0.524,1.4,,Africa,0.0,100.0,0.0,0.010025062656641603,1.0,14000.0,2020-03-19,11.825138,42.590275,2020-03-23,Full,,,
Dominica,37,72017,96,2021-08-15,943.0,183922.0,2.6,,0.742,3.8,,North America,0.44,1.0,0.0,0.0010604453870625664,2.0,63000.0,2020-03-23,15.414999,-61.370976,2020-03-19,Partial,11129.86119,,
Dominican Republic,38,10866667,225,2020-09-21,108783.0,452188.0,1.3,1.6,0.756,1.6,55.182,North America,0.55,2054.0,0.0144,0.01888162672476398,2.0,6569000.0,2020-03-02,18.735693,-70.162651,2020-03-17,Full,17748.18532,,91.8
Ecuador,39,17688599,71,2020-11-12,177513.0,539089.0,1.5,3.6,0.759,1.5,80.635,South America,0.93,12946.0,0.069,0.07292986992501957,2.0,2535000.0,2020-03-02,-1.831239,-78.183406,2020-03-24,Partial,11734.38739,6.82,94.5
El Salvador,40,6491923,313,2021-04-02,65030.0,846843.0,4.9,2.2,0.673,1.3,90.65,North America,0.08,2017.0,0.001,0.031016453944333385,2.0,1677300.0,2020-03-20,13.794185,-88.89653,2020-03-12,Full,8331.804142,6.89,88.4
Equatorial Guinea,41,1410419,50,2022-01-07,14401.0,270268.0,2.9,,0.592,2.1,24.64,Africa,0.27,177.0,0.0,0.012290813137976529,2.0,14000.0,2020-03-16,1.650801,10.267895,2020-03-22,Full,22743.82443,,95.3
Estonia,42,1326693,31,2020-12-03,13469.0,501489.0,1.6,0.5,0.892,4.69,,Europe,0.39,123.0,0.0082,0.009132081075061253,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Eswatini,43,1162233,67,2021-01-11,11711.0,501428.0,5.2,,0.611,2.1,24.097,Africa,0.06,298.0,0.0133,0.025446161728289642,,782000.0,2020-03-15,-26.5179414,31.4659,2020-03-27,Partial,10637.84173,6.4,
Falkland Islands,44,3497,0,2021-01-20,35.0,,,,,,,South America,,,,,,,,,,,,,,
Fiji,45,897573,49,2021-07-09,9521.0,241208.0,,1.4,0.743,2.3,,Oceania,0.63,51.0,,0.005356580191156391,2.0,870000.0,2020-03-20,-16.578193,179.414413,2020-03-20,Partial,10879.47846,7.17,
Finland,46,5542237,18,2021-02-24,55774.0,3303713.0,2.0,,0.938,3.28,,Europe,0.51,771.0,0.005,0.013823645426184243,3.0,3224000.0,2020-01-30,61.92411,25.748151,2020-03-27,Full,48416.93603,8.53,
France,47,65298930,119,2020-10-04,658365.0,13260984.0,3.2,,0.901,5.98,,Europe,0.64,32220.0,0.007,0.04893941810393931,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
French Polynesia,48,281191,77,2020-10-12,3251.0,,,,,,,Oceania,,11.0,,0.003383574284835435,2.0,,,,,,,,,
Gabon,49,2234448,9,2021-04-23,22433.0,873543.0,1.5,3.4,0.703,6.3,,Africa,0.12,138.0,0.0,0.006151651584718941,2.0,14000.0,2020-03-15,-0.803689,11.609444,2020-04-13,Partial,17875.76115,5.99,83.2
Georgia,50,3987805,57,2020-11-01,40727.0,14396.0,1.1,4.2,0.812,2.6,,Asia,-0.09,335.0,0.0125,0.008225501510054755,3.0,4757000.0,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,51,83830972,240,2020-11-19,855916.0,28113203.0,1.8,,0.947,8.0,,Europe,0.49,13370.0,0.008,0.015620691750125012,3.0,38881000.0,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Gibraltar,52,33689,3369,2020-09-16,340.0,516965.0,6.8,,,,,Europe,,1.0,0.0574,0.0029411764705882353,3.0,,,,,,,,,
Greece,53,10413936,81,2020-11-29,104227.0,2575388.0,9.7,1.5,0.888,4.21,,Europe,0.68,2321.0,0.0104,0.02226870196782024,3.0,30123000.0,2020-02-27,39.074208,21.824312,2020-03-18,Full,29592.15242,7.33,97.7
Greenland,54,56787,0,2021-09-28,571.0,,,,,,,North America,,1.0,,0.0017513134851138354,1.0,,,,,,,,,
Grenada,55,112614,331,2021-09-05,1238.0,144147.0,3.7,,0.779,3.7,,North America,0.13,5.0,0.0091,0.004038772213247173,2.0,185000.0,2020-03-23,12.262776,-61.604171,2020-03-25,Full,15557.54504,,
Guatemala,56,17971382,167,2021-03-10,180393.0,956133.0,2.9,8.7,0.663,0.6,76.665,North America,0.75,6522.0,0.0456,0.036154396234887164,2.0,1781000.0,2020-03-15,15.783471,-90.230759,,,8462.374008,7.07,79.3
Guyana,57,787215,4,2021-02-05,7887.0,387266.0,2.7,,0.682,1.6,77.159,South America,0.48,179.0,0.0215,0.022695574996830226,2.0,287000.0,2020-03-13,4.860416,-58.93018,,,8640.73737,6.74,88.5
Honduras,58,9931333,89,2020-11-05,99347.0,,,16.0,0.634,0.7,84.169,North America,0.53,2736.0,,0.027539835123355512,2.0,14000.0,2020-03-12,15.199999,-86.241905,2020-03-20,Partial,5138.752457,6.81,88.5
Hong Kong,59,7507523,7140,2022-02-23,75248.0,41354599.0,4.3,,0.949,,,Asia,,385.0,0.0038,0.00511641505422071,2.0,,,,,,,,8.81,
Hungary,60,9655983,107,2020-11-06,99625.0,1167411.0,2.4,0.5,0.854,7.02,,Europe,0.38,2250.0,0.0,0.02258469259723965,3.0,17552000.0,2020-03-05,47.162494,19.503304,2020-03-16,Full,31102.50275,7.65,99.1
Iceland,61,341628,3,2020-10-10,3460.0,150747.0,,0.2,0.949,2.91,,Europe,0.43,10.0,,0.002890173410404624,3.0,2343800.0,2020-02-29,64.963051,-19.020835,2020-03-16,Full,57303.06078,8.41,
India,62,1382345085,464,2021-04-13,13873825.0,259207108.0,4.4,21.2,0.645,0.53,59.55,Asia,0.34,172085.0,0.0021,0.012403572915183809,2.0,17423000.0,2020-01-31,20.593684,78.96288,2020-03-24,Full,7762.88177,6.64,72.1
Indonesia,63,274021604,151,2021-07-16,2780803.0,15467261.0,3.3,5.7,0.718,1.04,64.204,Asia,0.43,71397.0,0.0009,0.025674957916831935,2.0,15810000.0,2020-03-03,-0.789275,113.921327,2020-04-10,Partial,13079.6193,6.83,93.9
Iran,64,84176929,52,2020-11-22,854361.0,5828307.0,1.9,0.2,0.783,1.5,,Asia,0.33,44802.0,0.0077,0.05243919139567466,1.0,7295000.0,2020-02-20,32.427908,53.688046,2020-03-15,Full,21011.28831,5.1,86.8
Iraq,65,40372771,93,2020-10-12,405437.0,2507551.0,3.6,2.5,0.674,1.4,94.576,Asia,0.51,9912.0,0.0052,0.02444769470965896,1.0,14000.0,2020-02-25,33.223191,43.679291,2020-03-22,Full,17435.85393,4.34,79.7
Ireland,66,4947267,72,2020-10-18,49962.0,1439601.0,2.0,0.2,0.955,2.96,,Europe,0.59,1852.0,0.02,0.03706817181057604,3.0,10926000.0,2020-03-01,53.41291,-8.24389,2020-03-12,Full,83203.39468,8.52,
Isle of Man,67,85112,149,2021-03-08,865.0,,,,,,,Europe,,25.0,,0.028901734104046242,3.0,,,,,,,,,
Israel,68,8678517,400,2020-08-11,86932.0,1838935.0,3.0,0.5,0.919,2.99,,Asia,0.45,692.0,0.001,0.007960244789030506,3.0,4121000.0,2020-02-22,31.046051,34.851612,2020-03-12,Full,39919.16965,7.61,
Italy,69,60446035,206,2020-10-29,616595.0,15353490.0,4.9,2.0,0.892,3.18,,Europe,0.57,38122.0,0.0037,0.06182664471816995,3.0,61567200.0,2020-02-01,41.87194,12.56738,2020-03-11,Full,41830.42633,8.04,99.2
