Country,index,Population,Density,Date to reach 1%,total_cases,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,reproduction_rate,total_deaths,positive_rate,mortality_rate,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Albania,0,2877239,105,2021-12-05,201730.0,1350345.0,1.0,1.1,0.795,2.89,,Europe,0.55,3110.0,0.0739,0.015416646011996233,3.0,5340000.0,2020-03-10,41.153332,20.168331,2020-03-08,Full,13364.1554,7.84,97.6
Andorra,1,77287,164,2020-11-09,5437.0,92242.0,1.1,,0.868,,,Europe,0.48,75.0,0.0064,0.013794371896266323,3.0,3042000.0,2020-03-03,42.546245,1.601554,2020-03-16,Full,,,
Anguilla,2,15026,167,2021-11-10,1077.0,,,,,,,North America,,2.0,,0.0018570102135561746,2.0,,,,,,,,,
Antigua and Barbuda,3,98069,223,2022-02-10,7321.0,,,,0.778,3.8,,North America,0.42,134.0,,0.01830351044939216,,269000.0,2020-03-14,17.060816,-61.796428,,,26868.13352,,
Argentina,4,45267449,17,2021-05-11,3191097.0,12591905.0,1.5,0.6,0.845,5.0,,South America,0.05,68311.0,0.018,0.02140674507857329,3.0,6942000.0,2020-03-04,-38.416097,-63.616672,2020-03-20,Full,20610.56855,6.86,98.1
Armenia,5,2964219,104,2021-04-17,207973.0,935427.0,2.4,1.8,0.776,4.2,94.043,Asia,-0.02,3859.0,0.001,0.018555293235179567,4.0,1652000.0,2020-03-02,40.069099,45.038189,2020-03-24,Full,10343.17559,7.42,99.8
Aruba,6,106845,593,2021-02-17,7513.0,365.0,,,,,,North America,,69.0,,0.00918408092639425,2.0,,,,,,,39454.62983,,
Australia,7,25550683,3,2022-01-17,1870362.0,58984445.0,4.4,0.5,0.944,3.84,,Oceania,0.69,2773.0,0.087,0.0014826006944110284,1.0,9246000.0,2020-01-26,-25.274398,133.775136,2020-03-25,Partial,51663.36509,8.62,
Austria,8,9015361,109,2021-05-16,631491.0,36393075.0,11.2,0.7,0.922,7.37,,Europe,0.56,12759.0,0.0002,0.02020456348546535,3.0,30816000.0,2020-02-26,47.516231,14.550072,2020-03-16,Full,55454.68929,8.48,
Azerbaijan,9,10154978,123,2022-02-09,718145.0,6335593.0,2.6,,0.756,4.7,83.241,Asia,0.11,8948.0,0.0,0.012459879272291807,1.0,2633000.0,2020-03-02,40.143105,47.576927,2020-03-02,Full,18044.13678,6.22,99.8
Bahamas,10,393893,39,2022-01-09,28619.0,194889.0,2.1,,0.814,2.9,,North America,0.59,717.0,0.0116,0.02505328627834655,2.0,14000.0,2020-03-17,25.03428,-77.39628,2020-04-17,Full,32087.72915,7.56,
Bahrain,11,1711057,2239,2021-02-24,119858.0,3021611.0,3.5,,0.852,2.0,,Asia,0.46,437.0,0.0011,0.0036459810776085034,1.0,12045000.0,2020-02-25,25.930414,50.637772,2020-02-25,Full,47303.04851,6.63,95.7
Barbados,12,287437,668,2021-11-08,20265.0,585575.0,2.7,,0.814,5.8,88.469,North America,0.79,181.0,0.1112,0.008931655563779915,2.0,680000.0,2020-03-18,13.193887,-59.543198,2020-03-28,Full,18554.12928,7.02,
Belarus,13,9448772,47,2021-12-04,662056.0,10545014.0,3.1,,0.823,11.0,,Europe,-0.01,5147.0,0.0404,0.007774266829392076,4.0,11501600.0,2020-02-29,53.709807,27.953389,2020-04-07,Full,19994.80408,6.65,99.7
Belgium,14,11598451,383,2021-03-16,813026.0,10273597.0,2.2,0.2,0.931,5.64,,Europe,0.66,22572.0,0.01,0.02776294977036405,3.0,9119000.0,2020-02-05,50.503887,4.469936,2020-03-17,Full,51407.99834,8.29,
Belize,15,398845,17,2021-11-08,28162.0,321004.0,3.2,,0.716,1.3,90.083,North America,0.55,509.0,0.0,0.0180740004261061,2.0,489000.0,2020-03-24,17.189877,-88.49765,2020-04-16,Full,8648.0888,6.95,82.7
Bermuda,16,62237,1246,2021-09-19,4477.0,1621.0,11.5,,,,,North America,,42.0,0.0,0.009381282108554836,2.0,,,,,,,,,
Bhutan,17,773069,20,2022-04-19,54592.0,,,1.5,0.654,1.7,79.807,Asia,0.2,19.0,,0.00034803634232121925,2.0,274000.0,2020-03-07,27.514162,90.433601,2020-03-06,Full,10167.93406,6.53,64.9
Bolivia,18,11700207,11,2022-01-24,820583.0,3543586.0,2.1,7.1,0.718,1.1,25.383,South America,0.59,20671.0,0.0121,0.025190626664213126,1.0,1142000.0,2020-03-12,-16.290154,-63.588653,2020-03-12,Full,7873.166243,6.61,95.7
Bosnia and Herzegovina,19,3277152,64,2021-09-23,230212.0,1207337.0,3.5,0.2,0.78,3.5,97.164,Europe,0.58,10379.0,0.1234,0.04508453078032422,4.0,1053000.0,2020-03-06,43.915886,17.679076,2020-03-11,Full,14623.67405,7.37,98.5
Botswana,20,2359585,4,2021-09-13,165644.0,1713133.0,1.1,,0.735,1.8,,Africa,0.17,2337.0,0.0,0.014108570186665378,1.0,14000.0,2020-03-31,-22.328474,24.684866,2020-04-02,Partial,18615.79334,7.17,88.5
Brazil,21,212821986,25,2021-05-05,14947580.0,46623449.0,,3.4,0.765,2.2,,South America,0.68,414911.0,,0.027757737372872397,2.0,6621000.0,2020-02-27,-14.235004,-51.92528,2020-03-17,Partial,16096.40096,6.48,92.6
British Virgin Islands,22,30266,202,2021-07-21,2210.0,96630.0,,,,,,North America,,23.0,,0.010407239819004524,,,,,,,,,,
Brunei,23,438202,83,2022-02-20,34979.0,,,,0.838,2.7,,Asia,0.59,109.0,,0.0031161554075302324,2.0,14000.0,2020-03-10,4.535277,114.727669,,,,,
Bulgaria,24,6939018,64,2021-09-21,486738.0,4679511.0,3.5,1.5,0.816,7.454,,Europe,0.64,20224.0,0.0364,0.041550074167211105,3.0,9273000.0,2020-03-09,42.733883,25.48583,2020-03-13,Full,21960.36994,7.79,98.4
Canada,25,37799407,4,2022-01-11,2646228.0,54405632.0,1.9,0.5,0.929,2.5,,North America,0.72,31650.0,0.0756,0.011960420644026139,,21134000.0,2020-01-27,56.130366,-106.346771,2020-03-16,Partial,48130.25597,8.65,
Cayman Islands,26,65854,274,2021-11-18,5156.0,1897.0,2.9,,,,,North America,,4.0,0.0,0.0007757951900698216,2.0,,,,,,,72607.57077,,
Chile,27,19144605,26,2021-05-26,1344618.0,14450725.0,3.2,1.3,0.851,2.11,,South America,0.61,28624.0,0.0083,0.021287830447011716,3.0,5723000.0,2020-03-04,-35.675147,-71.542969,2020-03-26,Full,25222.52778,8.15,97.3
Colombia,28,50976248,46,2021-06-06,3571067.0,17527352.0,2.4,4.5,0.767,1.71,65.386,South America,0.47,91961.0,0.015,0.025751687100802084,2.0,3904000.0,2020-03-07,4.570868,-74.297333,2020-03-25,Full,15012.93027,6.93,94.7
Cook Islands,29,17567,73,2022-03-25,1257.0,,,,,,,Oceania,,1.0,,0.0007955449482895784,2.0,,,,,,,,,
Costa Rica,30,5102158,100,2021-06-23,357523.0,1186782.0,2.3,1.3,0.81,1.13,83.841,North America,0.01,4567.0,0.018,0.012774003350833374,2.0,3017000.0,2020-03-07,9.748917,-83.753428,2020-03-15,Full,17671.09535,7.7,97.8
Croatia,31,4100719,73,2021-04-09,288364.0,1619663.0,1.9,0.7,0.851,5.54,,Europe,0.54,6235.0,0.0176,0.02162197777808603,3.0,16645000.0,2020-02-26,45.1,15.2,2020-03-22,Partial,27579.78083,7.86,99.3
Cuba,32,11325391,106,2021-09-18,792933.0,,,,0.783,5.2,85.198,North America,0.52,6733.0,,0.008491259665066279,2.0,4684000.0,2020-03-13,21.521757,-77.781167,2020-03-23,Full,,,99.7
Cyprus,33,1208886,131,2021-07-11,84930.0,8771132.0,17.7,,0.887,3.4,,Europe,0.47,381.0,0.0017,0.004486047333097845,3.0,3939000.0,2020-03-10,35.126413,33.429859,2020-03-25,Full,38513.28457,7.93,99.1
Denmark,34,5795780,137,2021-11-09,407417.0,44128759.0,2.9,0.2,0.94,2.5,,Europe,0.63,2742.0,0.0168,0.00673020517062371,3.0,12749000.0,2020-02-28,56.26392,9.501785,2020-03-11,Full,55671.16527,8.56,
Dominica,35,72017,96,2021-11-08,5070.0,183922.0,2.6,,0.742,3.8,,North America,0.44,33.0,0.0,0.00650887573964497,2.0,63000.0,2020-03-23,15.414999,-61.370976,2020-03-19,Partial,11129.86119,,
Estonia,36,1326693,31,2021-03-20,94028.0,1089548.0,1.6,0.5,0.892,4.69,,Europe,0.39,780.0,0.0082,0.00829540136980474,3.0,3234000.0,2020-02-28,58.595272,25.013607,2020-03-13,Full,35973.77646,8.46,99.8
Falkland Islands,37,3497,0,2022-05-06,392.0,,,,,,,South America,,,,,,,,,,,,,,
Fiji,38,897573,49,2022-01-31,62855.0,492527.0,,1.4,0.743,2.3,,Oceania,0.63,801.0,,0.012743616259645214,2.0,870000.0,2020-03-20,-16.578193,179.414413,2020-03-20,Partial,10879.47846,7.17,
Finland,39,5542237,18,2022-01-15,389770.0,9158796.0,2.0,,0.938,3.28,,Europe,0.51,1864.0,0.273,0.004782307514688149,3.0,3224000.0,2020-01-30,61.92411,25.748151,2020-03-27,Full,48416.93603,8.53,
France,40,65298930,119,2021-03-28,4587179.0,63309581.0,3.2,,0.901,5.98,,Europe,0.64,94609.0,0.007,0.0206246584229654,4.0,89322000.0,2020-01-25,46.227638,2.213749,2020-03-16,Full,45342.39574,8.02,
French Polynesia,41,281191,77,2021-07-29,19875.0,,,,,,,Oceania,,148.0,,0.007446540880503145,2.0,,,,,,,,,
Georgia,42,3987805,57,2021-03-26,279446.0,1816854.0,1.1,4.2,0.812,2.6,,Asia,-0.09,3738.0,0.0177,0.013376466294024605,3.0,4757000.0,2020-02-27,42.315407,43.356892,2020-03-22,Partial,12004.57383,7.74,99.8
Germany,43,83830972,240,2021-12-01,5903999.0,87927768.0,1.8,,0.947,8.0,,Europe,0.69,101790.0,0.163,0.01724085657873587,3.0,38881000.0,2020-01-28,51.165691,10.451526,2020-03-20,Full,53074.54012,8.53,
Gibraltar,44,33689,3369,2021-01-03,2406.0,516965.0,6.8,,,,,Europe,,8.0,0.0574,0.0033250207813798837,3.0,,,,,,,,,
Greece,45,10413936,81,2021-10-28,731167.0,25510912.0,9.7,1.5,0.888,4.21,,Europe,0.7,15801.0,0.013,0.0216106580302448,3.0,30123000.0,2020-02-27,39.074208,21.824312,2020-03-18,Full,29592.15242,7.33,97.7
Greenland,46,56787,0,2022-01-07,3995.0,,,,,,,North America,,1.0,,0.00025031289111389235,1.0,,,,,,,,,
Grenada,47,112614,331,2022-01-11,8601.0,144147.0,3.7,,0.779,3.7,,North America,0.13,201.0,0.0091,0.02336937565399372,2.0,185000.0,2020-03-23,12.262776,-61.604171,2020-03-25,Full,15557.54504,,
