Country,index,Population,Density,Date to reach 1%,total_tests,tests_per_case,extreme_poverty,human_development_index,hospital_beds_per_thousand,handwashing_facilities,continent,Climate,Tourism,Date_FirstConfirmedCase,Latitude,Longtitude,Lockdown_Date,Lockdown_Type,GDP 2018,HF score 2017,literacy rate
Libya,41,6887247,4,2020-11-10,,4.078,,0.706,3.7,,Africa,1,14000,2020-03-25,26.3351,17.228331,2020-03-22,Full,20764.16414,4.64,91
Liechtenstein,42,38147,238,2020-10-27,,,,0.916,2.397,,Europe,4,85300,2020-03-05,47.166,9.555373,,,,,
Lithuania,43,2715340,43,2020-11-12,1067514,6.399,0.7,0.858,6.56,,Europe,,2825000,2020-02-29,55.169438,23.881275,2020-03-16,Full,35461.3591,8.32,99.8
Luxembourg,44,627704,242,2020-07-28,461669,15.424,0.2,0.904,4.51,,Europe,3,1018000,2020-03-01,49.815273,6.129583,2020-03-16,Full,113337.4205,8.56,
Maldives,45,542151,1802,2020-08-14,94047,7.465,,0.717,,95.803,Asia,2,1484000,2020-03-09,3.202778,73.22068,2020-03-11,Full,15307.72194,,99.3
Malta,46,441750,1380,2020-10-20,305811,16.961,0.2,0.878,4.485,,Europe,3,2599000,2020-03-08,35.937496,14.375416,2020-03-12,Full,42581.09786,8.37,94.1
Moldova,47,4032294,123,2020-09-09,,,0.2,0.7,5.8,86.979,Europe,3,160000,2020-03-09,47.411631,28.369885,2020-03-11,Full,7271.641919,6.93,99.4
Monaco,48,39290,26337,2020-11-04,,,,,13.8,,Europe,,347000,2020-03-01,43.750298,7.412841,2020-03-17,Full,,,
Montenegro,49,628080,47,2020-09-12,,,1,0.814,3.861,,Europe,,2077000,2020-03-18,42.708678,19.37439,2020-03-24,Full,20689.98675,7.43,98.7
Netherlands,50,17141544,508,2020-10-12,3170096,3.536,,0.931,3.32,,Europe,3,18780000,2020-02-28,52.132633,5.291266,2020-03-24,Full,56328.94114,8.5,
Oman,51,5128058,16,2020-07-10,,2.428,,0.821,1.6,97.4,Asia,1,2301000,2020-02-25,21.512583,55.923255,2020-03-29,Partial,41859.93448,5.98,94.8
Panama,52,4326296,58,2020-07-12,162005,2.628,2.2,0.789,2.3,,North America,2,1785000,2020-03-11,8.537981,-80.782127,2020-03-25,Full,25553.69671,7.69,95
Paraguay,53,7147553,18,2020-11-16,405816,3.941,1.7,0.702,1.3,79.602,South America,2,1181000,2020-03-09,-23.442503,-58.443832,2020-03-15,Partial,13599.92656,6.9,95.6
Peru,54,33050211,26,2020-07-15,369808,,3.5,0.75,1.6,,South America,1,4419000,2020-03-07,-9.189967,-75.015152,2020-03-10,Full,14418.07067,7.55,94.5
Poland,55,37839255,124,2020-11-02,4649236,1.908,,0.865,6.62,,Europe,3,19622000,2020-03-05,51.919438,19.145136,2020-03-12,Full,31336.6035,7.78,99.8
Portugal,56,10191409,111,2020-10-21,3169365,6.273,0.5,0.847,3.39,,Europe,3,16186000,2020-03-03,39.399872,-8.224454,2020-03-18,Full,33415.4379,8.27,95.4
Puerto Rico,57,2846860,323,2020-08-22,,,,,,,North America,2,,2020-03-13,,,,,39540.58693,,
Qatar,58,2889284,248,2020-05-16,152704,2.533,,0.856,1.2,,Asia,1,1819300,2020-03-01,25.354826,51.183884,2020-03-11,Full,126898.4259,6.15,97.8
Romania,59,19214608,84,2020-10-23,3002800,3.367,5.7,0.811,6.892,,Europe,3,11720000,2020-02-27,45.943161,24.96676,2020-03-25,Full,28206.35705,8.11,98.8
Russia,60,145945524,9,2020-10-23,56794639,19.937,0.1,0.816,8.05,,Europe,4,24551000,2020-02-01,61.52401,105.318756,2020-03-27,Full,,6.34,99.7
San Marino,61,33944,566,2020-04-11,,,,,3.8,,Europe,3,84000,2020-02-28,43.94236,12.457777,2020-03-09,Full,63037.12578,,
Saudi Arabia,62,34905942,16,2020-11-06,8448856,133.449,,0.853,2.7,,Asia,1,15334000,2020-03-03,23.885942,45.079162,2020-03-15,Full,55335.67959,5.42,94.7
Serbia,63,8731081,100,2020-11-17,1536960,3.05,,0.787,5.609,97.719,Europe,,1711000,2020-03-07,44.016521,21.005859,2020-03-15,Full,17434.91613,7.3,98.1
Slovakia,64,5460109,114,2020-10-31,791767,4.476,0.7,0.855,5.82,,Europe,3,14000,2020-03-07,48.669026,19.699024,2020-03-09,Full,,,99.6
Slovenia,65,2078989,103,2020-10-25,329103,3.102,,0.896,4.5,,Europe,3,4425000,2020-03-06,46.151241,14.995463,2020-03-11,Full,38048.78466,7.97,99.7
South Africa,66,59436725,49,2020-08-20,3480283,5.666,18.9,0.699,2.32,43.993,Africa,1,10472000,2020-03-06,-30.559482,22.937506,2020-03-26,Full,13686.88236,7.08,94.3
Spain,67,46757980,94,2020-09-01,7042795,7.899,1,0.891,2.97,,Europe,3,82773000,2020-02-02,40.463667,-3.74922,2020-03-14,Full,39715.43906,8.12,98.1
Palestine,68,5121112,847,2020-10-03,,4.314,1,0.686,,,Asia,3,606000,2020-03-06,31.9466,35.3027,2020-04-09,Full,,,
Sweden,69,10110233,25,2020-10-14,,7.834,0.5,0.933,2.22,,Europe,3,7440000,2020-02-01,60.128161,18.643501,,,53208.88436,8.5,
Switzerland,70,8665615,219,2020-10-22,1745118,3.567,,0.944,4.53,,Europe,3,10362000,2020-02-26,46.818188,8.227512,2020-03-18,Full,68060.94105,8.82,
Ukraine,71,43686577,75,2020-11-07,3572433,2.413,0.1,0.751,8.8,,Europe,3,14104000,2020-03-04,48.379433,31.16558,2020-03-17,Full,9249.462135,6.26,99.8
United Arab Emirates,72,9910892,118,2020-10-06,10319913,77.554,,0.863,1.2,,Asia,1,21286000,2020-01-30,23.424076,53.847818,2020-03-24,Full,75075.25741,6.13,93.8
United Kingdom,73,67948282,281,2020-10-17,25323952,11.638,0.2,0.922,2.54,,Europe,3,36316000,2020-02-01,55.378051,-3.435973,2020-03-23,Full,45973.5735,8.47,
United States,74,331341050,36,2020-07-14,48731119,7.482,1.2,0.924,2.77,,North America,3,79745920,2020-03-10,37.09024,-95.712891,2020-03-23,Partial,62794.58565,8.46,
